Date,Username,Link,Description,Language,Template,Hashtags,authorDigged,authorFollowerCount,authorFollowingCount,authorLikes,videoCount,musicAuthorName,musicTitle ,collectCount,Video Comment Count,Video Play Count,Share Count,videoId,authorId,musicId
2023-09-03,thisisjessicarose,https://www.tiktok.com/@278799552956993536/video/7274454172173372715,An afro-american woman is dancing infront of the camera on her way to somewhere with the carryon and her daughter standing behind her. She is happy to move out of US and live on her earnings from social media. She is also happy to share her know-how though the lnks in her bio.,English,Gentle Glow,#shereallyhadababy #digitalnomad #worldschool #singlemama,19100,483400,914,19300000,1522,310babii,soak city (do it),399,108,120500,54,7274454172173372715,278799552956993536,7240878373467293697
2023-11-19,kl.foodie,https://www.tiktok.com/@7129424700539094021/video/7303117367339437320,Video showcasting food for Rantau Nomads: Nasi Lemak Burung Hantu,Malay,No,#derantau #digitalnomad #malaysiadigitalnomad,18300,845900,26,18800000,1752,klfoodie,original sound - klfoodie,2157,151,757700,863,7303117367339437320,7129424700539094021,7303117411853568769
2023-07-19,digital_bromad,https://www.tiktok.com/@6768173170131534854/video/7257656651149397294,"An American guy is telling that you can be a millioner without actualy earning so much in Bali, using geoarbitrage and showing there are affordable options that allow you to live well internationally for a fraction of what it costs in America. He is telling that you can do your regular 9 to 5 job remote, using VPN or set uo your home IP address and claims that it is not illegal to work from anywhere *which is not accotding to current regulations. He also wants to reach as much people as possible with his content.",English,No,#passportbros #passportbro #digitalbromad #digitalnomad,34700,513500,679,18500000,355,lofi'chield,City,7530,566,443200,3170,7257656651149397294,6768173170131534854,7197505126058330114
2023-06-22,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7247391226536807722,"Bonnie shares the aspiration of traveling entire world, seeking to explore the diverse cultures, landscapes, and stories our planet has to offer. The lyrics of the music ""You can see the world, following the seasons, anywhere you go - you don't need a reason""",English,No,#travel #traveltok #budgettravel #travellife #backpacking #seetheworld #backpacklife #dreamlife #digitalnomad #remotelife,44700,126200,648,18500000,1639,imi,you can see the world,4750,86,179300,591,7247391226536807722,6814855456721699845,7225253891838167810
2023-08-07,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7264718495575723306,"dropped off in the middle of nowhere to party in the jungle with people from all over the world 🪩💃🏻 stayed only 1 night and had an amazing time! if you want to party, make sure to stay on a tues/thurs/sunday 🍻 very social hostel & tons of solo travellers📍el rio hostel, buritaca, colombia.",English,No,#travel #travellife #traveltok #backpacking #colombia #elriohostel #jungle #partyhostel #hostelreview #digitalnomad #adventure #besthostels #hostellife #summer #placestovisit,47100,126200,648,18500000,1639,Charli XCX,Speed Drive (From Barbie The Album),16900,92,313500,2842,7264718495575723306,6814855456721699845,7249776540907751425
2023-09-18,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7280091703212559647,"A young girl is claming that  a rich life has nothing to do with money, when have stories to share, not stuff to show 😌 Flashing pictures with her in different beach destinations and an ice bad somewhere",English,No,#travel #travellife #traveltok #adventure #seetheworld #digitalnomad #worldtravel #travelinspo #budgettravel #bucketlisttravel #experiences #traveltips,132000,126200,648,18500000,1639,harlan,Zach bryan dawns sped up,14900,269,589800,10200,7280091703212559647,6814855456721699845,7225628933474683674
2023-12-04,bonniengaii,https://www.tiktok.com/@6814855456721699845/video/7308687518856187178,The girl is telling a story of her spenfing the first night of her backpacking trip sleeping in a hotel lobby after a 39 hour travel day ,English,No,#travel #travellife #storytime #germany #traveltok #europetravel #europetok #seetheworld #travelstories #traveltips #travelinspo #vlog #digitalnomad #backpacking #hotellife,56500,126200,648,18500000,1639,Bonnie Ngai,original sound,871,348,1100000,64,7308687518856187178,6814855456721699845,7308687836725742379
2023-12-30,baileygoesoutside,https://www.tiktok.com/@6795362597594366982/video/7318444921357094186,"An american couple sold everything, bought a huge motor home and went traveling for a year. The video shows hightlights of their trip stating they are not regreting about their decision. Chill music in the background",English,No,#rvlife #rvliving #nomadic #digitalnomad #fulltimetravel #dutchmenpartner #astoria,110600,310200,126,16900000,641,BaileyGoesOutside,original sound,5053,673,1200000,2924,7318444921357094186,6795362597594366982,7318444979616074542
2023-06-25,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7248394276864822571,"An afro-american guy V-logging why it is so attractive to live in Bali, because of the clubs, food and tatoo's being extremely cheap",English,,#bali #livinginbali #movingtobali #expat #digitalnomad #travel #balilife #traveltips #movingabroad,131800,407500,121,16100000,642,Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),19500,584,665500,13500,7248394276864822571,6685819687970980869,6860515009819052033
2023-07-01,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7250977169675914539,"An afro-american guy v-logging about living costs in Bali, transportation costs and food costs per month. His lifestyle costs him 1200 dollar i a month, and he asks what are your expences?",English,No,#monthlybudget #bali #livinginbali #traveltips #expat #digitalnomad #balicost #travel #travelbudget,40500,407500,121,16100000,642,aAp Vision,How`s Your Day,6743,690,380900,7101,7250977169675914539,6685819687970980869,6941249468143306754
2023-07-27,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7260269199451245866,An american guy v-logging about how much he is getting for 60 dollar a day in Bali.,English,No,#howmuchispendinaday #bali #livinginbali #expat #digitalnomad #canggu #indonesia #livingabroad #costofbali #vacation,72400,407500,121,16100000,642,Nimbora,Lofi Hip Hop Nimbora-1,11700,868,841200,14500,7260269199451245866,6685819687970980869,7213839953384605697
2023-09-04,thomaslmanuel,https://www.tiktok.com/@6685819687970980869/video/7275098669140053294,"An American guy V-logging about cost of living in Bali, food is very cheap, the food the food is my favorite. He spend 43 dollars for a whole day, english with jargon.",Englsh,No,#bali #howmuchispendinaday #beachclub #brunch #digitalnomad #contentcreator,16800,407500,121,16100000,642,Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),2008,218,205600,2418,7275098669140053294,6685819687970980869,6860515009819052033
